tar,exp,run,E,rho,mae,rmse,Jacobian
Pa,2,50,8,0.9344019134729569,0.24703777833374804,0.31463390346597203,-0.14302213546730094
Dn,2,50,2,0.904251139026264,0.31634811484839814,0.41636970509402477,0.8589992213193385
Pa,2,51,8,0.9483833841210246,0.22092941261489177,0.28492690008357435,-0.21283020377462222
Dn,2,51,3,0.9165837687964143,0.2981793068140853,0.3876074908850564,0.7846308696777164
Pa,2,52,8,0.9516958634232475,0.21385220831735333,0.2699236765658848,-0.21297108100837422
Dn,2,52,3,0.9087898106131241,0.3039083698302037,0.4043422570615987,0.7362502129419415
Pa,2,53,8,0.9447948496008761,0.23981307450859074,0.2854726461168138,-0.1780893734448017
Dn,2,53,3,0.8999901571613284,0.3094578463741088,0.4222321437874957,0.747859928829389
Pa,2,54,8,0.9519436292081687,0.21031884558368782,0.26977601307977495,-0.20685212393122768
Dn,2,54,2,0.9050338381521995,0.3081125895364403,0.4152658250753424,0.8458610187407885
Pa,2,55,8,0.9486925018825829,0.21393298395505908,0.2764451718942228,-0.21681318566808938
Dn,2,55,2,0.8949186813169709,0.3140512624986753,0.43587440905836444,0.840859546460419
Pa,2,56,9,0.9420509480964003,0.20701077200186843,0.27671551180196785,-0.10866720417792915
Dn,2,56,3,0.909359331920739,0.3142829734631036,0.40292488702626716,0.71856265879909
Pa,2,57,8,0.9496208219102,0.22718971494424056,0.2752874719051826,-0.19858248251602945
Dn,2,57,3,0.9163500056707355,0.3179478321087306,0.3884558423430812,0.8343341775860437
Pa,2,58,2,0.8996340714226273,0.3181385957530936,0.4267999498338457,-0.41531801641928257
Dn,2,58,3,0.9004864451641875,0.3131523207361607,0.4214036841454334,0.7590156640551079
Pa,2,59,8,0.952369376117554,0.20820167863776798,0.26763160455461416,-0.27026303677713703
Dn,2,59,3,0.8981456086595214,0.3061940403347265,0.42589706592136406,0.7198424863819426
Pa,2,60,8,0.9356380097048336,0.2560269316384438,0.31315511672156054,-0.14358563920591996
Dn,2,60,2,0.8981538095531348,0.3545908184361932,0.43053647416267116,0.6791057963411591
Pa,2,61,8,0.9448753634046325,0.23614705983615397,0.29236018570201344,-0.20867010905915398
Dn,2,61,2,0.9056703281071893,0.3149223046136963,0.4147082810295362,0.8436154597847363
Pa,2,62,2,0.9057187550893774,0.29719944740749266,0.41425293352797277,-0.43610032896869266
Dn,2,62,2,0.9057182506618953,0.29718053835711633,0.4142536865665267,0.8466203432683919
Pa,2,63,2,0.9257594203674836,0.2705096503990973,0.36971114931721305,-0.5895370292840513
Dn,2,63,2,0.9245781334600521,0.27386463173802367,0.3719475418103109,0.6074375357087964
Pa,2,64,8,0.9468724438685989,0.23491165093317698,0.28644193871438944,-0.2822443559616148
Dn,2,64,2,0.9051725327672724,0.3102229877878587,0.41468478719304086,0.831484571880437
Pa,2,65,8,0.9544527604300181,0.19701907595831517,0.2624356792283278,-0.17248887570145033
Dn,2,65,3,0.9023457357214463,0.302927887121738,0.4172854877715374,0.7511808574780057
Pa,2,66,8,0.9477619031109015,0.22143344469120135,0.27947708107938013,-0.1874463928263955
Dn,2,66,3,0.9113552562987813,0.3081343298436056,0.39858249931866996,0.8849898608476877
Pa,2,67,3,0.9428131817863326,0.2563462757198635,0.32239512949411875,-0.09074051981946335
Dn,2,67,3,0.9132319127365387,0.3128090862490877,0.39574561653901785,0.8273577143923315
Pa,2,68,8,0.9427285036036651,0.22413372223259115,0.29246628542296044,-0.15898934689137406
Dn,2,68,3,0.8958169353546105,0.3221624162438285,0.42905009045403086,0.7188818098451969
Pa,2,69,8,0.9545074393510959,0.19854993197168594,0.26279936138125015,-0.20465496881757836
Dn,2,69,3,0.9174202436582901,0.31214170456058443,0.3868837813122397,0.7463311736818167
Pa,2,70,8,0.9664576024250758,0.18418401861898565,0.22515843140989975,-0.21006403789707218
Dn,2,70,2,0.9229731522579645,0.29171128779569866,0.3791598783589254,0.8882994866078326
Pa,2,71,8,0.9563503003339855,0.1983550273401031,0.25966031395170447,-0.281579776294774
Dn,2,71,3,0.912852827848841,0.3227485075340776,0.39777683135932945,0.7215846700622224
Pa,2,72,3,0.9380926151017934,0.27296220281230105,0.33590872138222616,-0.3038659529124432
Dn,2,72,2,0.9006352948855006,0.32359323025921627,0.42516540129643354,0.8321571571108621
Pa,2,73,2,0.9029837359302741,0.32539628752033617,0.42073730162255624,-0.5402201088857899
Dn,2,73,2,0.9029859824058798,0.32543964886158294,0.42071972817205605,0.8104808830070637
Pa,2,74,8,0.9469107090401659,0.2290475339980991,0.28561506712570084,-0.10530651400124111
Dn,2,74,2,0.9014585000218598,0.31396903139340693,0.4224648242118171,0.8394077116513395
Pa,2,75,8,0.9586065964606475,0.221771733584574,0.2533113939290034,-0.20000169894325923
Dn,2,75,2,0.901476525018879,0.31720291979313786,0.4243459339718226,0.8214963017849166
Pa,2,76,8,0.9559389058782974,0.20725090725712805,0.26194227341520526,-0.1533974786970124
Dn,2,76,2,0.90386427091248,0.3209947993296356,0.419036990732313,0.7478131837133828
Pa,2,77,2,0.9124574482517205,0.2917428125834348,0.39990838342679397,-0.4411915912223452
Dn,2,77,2,0.9124565898636042,0.2916469120396377,0.3999078990905787,0.8532606424613711
Pa,2,78,8,0.951402762210315,0.21404498139781758,0.2751546144186067,-0.10886504539718583
Dn,2,78,2,0.908066768510473,0.3152855519462565,0.40944006592969456,0.7939373928086543
Pa,2,79,8,0.9592367154602423,0.20180504167250626,0.2507910250398727,-0.15865128968168524
Dn,2,79,2,0.9136870453446798,0.30571108965695437,0.396374197984194,0.838951372759062
Pa,2,80,8,0.9344783284513002,0.2483496958330905,0.3153971421730002,-0.21183070001305235
Dn,2,80,3,0.903828827030724,0.3175912106332022,0.4140592812462055,0.7553657557131471
Pa,2,81,8,0.9618958661924873,0.2084750890972247,0.24822319964637546,-0.18227947373378406
Dn,2,81,3,0.9046350559979257,0.29821755557555635,0.4150832548520112,0.7590012718250182
Pa,2,82,2,0.918684499699517,0.29489012193011177,0.3895901324886332,-0.568710926463442
Dn,2,82,3,0.9129511760691528,0.3027795953817587,0.3940227274651395,0.763857377052473
Pa,2,83,8,0.9619427700075532,0.1933516780359821,0.24536534001291163,-0.26049794989332914
Dn,2,83,3,0.9045683340387405,0.31861859019892214,0.41511733680028196,0.7114922165668345
